SchoolDistrict,percentEBLL2015,note2015,percentEBLL2016,note2016,percentEBLL2017,note2017,percentEBLL2018,note2018,percentEBLL2019,note2019,percentEBLL15_19,note15_19
Allegheny Valley,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.92,"Unstable percent, interpret with caution",0.68,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.43,"Unstable percent, interpret with caution"
Avonworth,0.72,"Unstable percent, interpret with caution",0.75,"Unstable percent, interpret with caution",0.55,"Unstable percent, interpret with caution",0.89,"Unstable percent, interpret with caution",2,"Unstable percent, interpret with caution",1.15,
Baldwin-Whitehall,0.91,"Unstable percent, interpret with caution",0.59,"Unstable percent, interpret with caution",1.4,,1.42,,0.49,"Unstable percent, interpret with caution",1.05,
Bethel Park,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.61,"Unstable percent, interpret with caution",0.18,"Unstable percent, interpret with caution",0.89,"Unstable percent, interpret with caution",0.51,"Unstable percent, interpret with caution"
Brentwood Borough,1.6,"Unstable percent, interpret with caution",1.35,"Unstable percent, interpret with caution",3.45,"Unstable percent, interpret with caution",2.68,"Unstable percent, interpret with caution",2.54,"Unstable percent, interpret with caution",2.46,
Carlynton,0.66,"Unstable percent, interpret with caution",3.05,"Unstable percent, interpret with caution",8.06,,5.49,,4.05,"Unstable percent, interpret with caution",3.56,
Chartiers Valley,1.53,"Unstable percent, interpret with caution",2.15,"Unstable percent, interpret with caution",1.41,"Unstable percent, interpret with caution",2.64,,1.78,"Unstable percent, interpret with caution",1.93,
City of Pittsburgh,5.55,,5.53,,4.76,,4,,3.84,,4.72,
Clairton City,2.73,"Unstable percent, interpret with caution",0.63,"Unstable percent, interpret with caution",1.18,"Unstable percent, interpret with caution",1.14,"Unstable percent, interpret with caution",2.4,"Unstable percent, interpret with caution",1.95,
Cornell,1.67,"Unstable percent, interpret with caution",2.9,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",1.96,"Unstable percent, interpret with caution",2.73,"Unstable percent, interpret with caution",2.4,"Unstable percent, interpret with caution"
Deer Lakes,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.73,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.49,"Unstable percent, interpret with caution",0.34,"Unstable percent, interpret with caution"
Duquesne City,3.88,"Unstable percent, interpret with caution",7.55,"Unstable percent, interpret with caution",6.62,"Unstable percent, interpret with caution",2.16,"Unstable percent, interpret with caution",2.89,"Unstable percent, interpret with caution",4.78,
East Allegheny,3.54,"Unstable percent, interpret with caution",4.64,"Unstable percent, interpret with caution",3.52,"Unstable percent, interpret with caution",1.65,"Unstable percent, interpret with caution",0.85,"Unstable percent, interpret with caution",3.18,
Elizabeth Forward,0,"Unstable percent, interpret with caution",0.54,"Unstable percent, interpret with caution",2.29,"Unstable percent, interpret with caution",0.79,"Unstable percent, interpret with caution",0.74,"Unstable percent, interpret with caution",1.2,
Fort Cherry,,Censored,,Censored,,Censored,,Censored,,Censored,,Censored
Fox Chapel Area,1.09,"Unstable percent, interpret with caution",0.49,"Unstable percent, interpret with caution",0.83,"Unstable percent, interpret with caution",0.82,"Unstable percent, interpret with caution",0.64,"Unstable percent, interpret with caution",0.86,
Gateway,1.59,"Unstable percent, interpret with caution",3.19,,0.25,"Unstable percent, interpret with caution",1.7,"Unstable percent, interpret with caution",1.08,"Unstable percent, interpret with caution",1.8,
Hampton Township,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution"
Highlands,1.15,"Unstable percent, interpret with caution",1.67,"Unstable percent, interpret with caution",2.46,"Unstable percent, interpret with caution",2.4,,1.86,"Unstable percent, interpret with caution",1.79,
Keystone Oaks,1.54,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",1.42,"Unstable percent, interpret with caution",0.34,"Unstable percent, interpret with caution",1.05,"Unstable percent, interpret with caution",1.01,
McKeesport Area,6.75,,5.62,,5.4,,6.45,,6.3,,6.38,
Montour,0.65,"Unstable percent, interpret with caution",1.33,"Unstable percent, interpret with caution",2.05,"Unstable percent, interpret with caution",1.03,"Unstable percent, interpret with caution",0.68,"Unstable percent, interpret with caution",0.96,
Moon Area,2.31,"Unstable percent, interpret with caution",3.17,"Unstable percent, interpret with caution",1.33,"Unstable percent, interpret with caution",0.22,"Unstable percent, interpret with caution",0.35,"Unstable percent, interpret with caution",1.01,
Mt. Lebanon,0.43,"Unstable percent, interpret with caution",0.69,"Unstable percent, interpret with caution",0.3,"Unstable percent, interpret with caution",0.33,"Unstable percent, interpret with caution",0.15,"Unstable percent, interpret with caution",0.38,"Unstable percent, interpret with caution"
North Allegheny,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.19,"Unstable percent, interpret with caution",0.36,"Unstable percent, interpret with caution",0.27,"Unstable percent, interpret with caution",0.24,"Unstable percent, interpret with caution"
North Hills,0.27,"Unstable percent, interpret with caution",0.78,"Unstable percent, interpret with caution",1.44,"Unstable percent, interpret with caution",1.37,,1.54,,1.15,
Northgate,9.66,,5.19,"Unstable percent, interpret with caution",6.22,,5.77,,3.05,"Unstable percent, interpret with caution",5.65,
Penn Hills,0.89,"Unstable percent, interpret with caution",2.39,,0.6,"Unstable percent, interpret with caution",0.49,"Unstable percent, interpret with caution",0.41,"Unstable percent, interpret with caution",0.87,
Penn-Trafford,,Censored,,Censored,,Censored,,Censored,,Censored,,Censored
Pine-Richland,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution"
Plum Borough,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution"
Quaker Valley,2.83,"Unstable percent, interpret with caution",1.98,"Unstable percent, interpret with caution",0.72,"Unstable percent, interpret with caution",2.21,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",1.67,
Riverview,2.44,"Unstable percent, interpret with caution",1.11,"Unstable percent, interpret with caution",0.78,"Unstable percent, interpret with caution",2.3,"Unstable percent, interpret with caution",2.05,"Unstable percent, interpret with caution",2.11,
Shaler Area,2.11,"Unstable percent, interpret with caution",3.02,,1.81,"Unstable percent, interpret with caution",2.16,,0.18,"Unstable percent, interpret with caution",1.76,
South Allegheny,0.55,"Unstable percent, interpret with caution",5.92,"Unstable percent, interpret with caution",5.26,"Unstable percent, interpret with caution",1.01,"Unstable percent, interpret with caution",0.99,"Unstable percent, interpret with caution",2.58,
South Fayette Township,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",1.64,"Unstable percent, interpret with caution",1.04,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.68,"Unstable percent, interpret with caution"
South Park,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.6,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.43,"Unstable percent, interpret with caution",0.29,"Unstable percent, interpret with caution"
Steel Valley,2.19,"Unstable percent, interpret with caution",3.33,"Unstable percent, interpret with caution",3.95,"Unstable percent, interpret with caution",1.39,"Unstable percent, interpret with caution",2.66,"Unstable percent, interpret with caution",2.43,
Sto-Rox,2.05,"Unstable percent, interpret with caution",4.52,"Unstable percent, interpret with caution",1.83,"Unstable percent, interpret with caution",3.27,,3.67,,2.91,
Upper St. Clair Area,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.56,"Unstable percent, interpret with caution",0.67,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.31,"Unstable percent, interpret with caution"
West Allegheny,0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.68,"Unstable percent, interpret with caution",0.65,"Unstable percent, interpret with caution",0.26,"Unstable percent, interpret with caution",0.44,"Unstable percent, interpret with caution"
West Jefferson Hills,0.39,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.22,"Unstable percent, interpret with caution",0,"Unstable percent, interpret with caution",0.15,"Unstable percent, interpret with caution"
West Mifflin Area,0.97,"Unstable percent, interpret with caution",1.48,"Unstable percent, interpret with caution",1.75,"Unstable percent, interpret with caution",1.58,"Unstable percent, interpret with caution",1.43,"Unstable percent, interpret with caution",1.59,
Wilkinsburg,6.2,,5.73,,6.64,,6.77,,6.71,,6.1,
Woodland Hills,3.45,,4.81,,3.43,,3.04,,2.62,,3.64,
